K,r_95,r_75,r_50
1,31.1,22.6,18
2,18.9,13.2,10.4
3,14.6,10.2,8
4,12.3,8.8,6.9
5,10.8,7.8,6.2
6,9.8,7.2,5.8
7,9,6.7,5.4
8,8.4,6.4,5.2
9,8,6.1,5
10,7.6,5.8,4.8
11,7.2,5.6,4.6
12,7,5.4,4.5
13,6.7,5.3,4.4
14,6.5,5.1,4.3
15,6.3,5,4.2
16,6.1,4.9,4.2
17,6,4.8,4.1
18,5.8,4.7,4
19,5.7,4.6,4
20,5.6,4.6,3.9
21,5.5,4.5,3.9
22,5.4,4.4,3.8
23,5.3,4.4,3.8
24,5.2,4.3,3.7
25,5.1,4.2,3.7
26,5.1,4.2,3.7
27,5,4.1,3.6
28,4.9,4.1,3.6
29,4.9,4.1,3.6
30,4.8,4,3.5
