K,rho,r_50,r_75,r_95
1,0.41,13.9245788622957,17.3147485023058,22.9411561672398
1,0.42,13.7745873878226,17.1170886704168,22.6910723344386
1,0.43,13.610886017664,16.928488867052,22.4364887624562
1,0.44,13.4554284430568,16.7243272384342,22.1773906282555
1,0.45,13.2971476165704,16.5288501161416,21.9137630917742
1,0.46,13.1360352991041,16.3298294826659,21.6455912965745
1,0.47,12.9618256419974,16.115756668538,21.3728603704716
1,0.48,12.7951885312403,15.9097967083532,21.0955554261394
1,0.49,12.6157699849488,15.7002601529202,20.800787324939
1,0.5,12.4435797521154,15.4761928250084,20.5145046323337
1,0.51,12.2685190914185,15.2596547036998,20.2111659433702
1,0.52,12.0905797024452,15.0289416704269,19.915851811359
1,0.53,11.9097532766207,14.7949887067236,19.6038945637053
1,0.54,11.7169472666429,14.5679668742155,19.299495174256
1,0.55,11.5304930101278,14.3373033500425,18.9904217353538
1,0.56,11.3411279390473,14.0931918722654,18.6766592518969
1,0.57,11.1402801360776,13.8458071648146,18.3581927183342
1,0.58,10.9368576147659,13.6045399202957,18.0350071190934
1,0.59,10.7390617171969,13.3503855475143,17.7070874289971
1,0.6,10.5383239787083,13.1019341065336,17.3640027684715
1,0.61,10.3267846536602,12.8409740880425,17.0268012405997
1,0.62,10.1203173952452,12.5852973635954,16.6748736216797
1,0.63,9.90339569367768,12.3174956378789,16.3186249666664
1,0.64,9.69117003647656,12.0545524796241,15.9675167937572
1,0.65,9.46884144343606,11.7798729095284,15.602353599808
1,0.66,9.25082844832293,11.501845082208,15.241829217438
1,0.67,9.02981844740737,11.2280284866329,14.8764562273983
1,0.68,8.79923904829444,10.9430696919416,14.4977076556985
1,0.69,8.56602284226977,10.6547378391442,14.122835264407
1,0.7,8.33016467709629,10.3699587636336,13.7430704324731
1,0.71,8.09765107487248,10.0746426677234,13.3583980388824
1,0.72,7.85630071891323,9.78243459230281,12.9612747788748
1,0.73,7.61229188609549,9.48009785557717,12.5669908784865
1,0.74,7.37103184321294,9.17434616418997,12.1607289017953
1,0.75,7.12149462321577,8.87102554723425,11.7567788057147
1,0.76,6.87430402140668,8.55819972118822,11.3413290092372
1,0.77,6.6240391377351,8.24193394394427,10.9276579750065
1,0.78,6.36606313465192,7.92222025467889,10.5089778351126
1,0.79,6.10982272609786,7.59905068495916,10.0795244273769
1,0.8,5.85048384380478,7.27715926412902,9.6510397088938
1,0.81,5.58400977254854,6.94682774360338,9.21227409888264
1,0.82,5.31865033255907,6.61730503846528,8.76896560502165
1,0.83,5.04654596523822,6.27977493061308,8.32110322448519
1,0.84,4.77171967213867,5.94257936762534,7.86424367307888
1,0.85,4.49737692243852,5.59781400053359,7.41167275094728
1,0.86,4.21688374498004,5.24953334759351,6.9500826119281
1,0.87,3.93644819767928,4.9008666528993,6.4875220785967
1,0.88,3.65026301302653,4.54529685499096,6.0198109580666
1,0.89,3.36132754499854,4.18618656304291,5.54384853796381
1,0.9,3.06963649733718,3.82352774473308,5.06606388419788
1,0.91,2.77713873087783,3.45950544811163,4.5805476294475
1,0.92,2.47970736196672,3.08948631038647,4.09489523629375
1,0.93,2.17950351757707,2.71589338410526,3.59949753574583
1,0.94,1.87783386140085,2.34019133708848,3.09941795085724
1,0.95,1.5707571278464,1.9579539581466,2.59464540154811
1,0.96,1.26220393237132,1.57457767109115,2.08402806172807
1,0.97,0.951517301047807,1.18636414738277,1.57097706123023
1,0.98,0.637152069013355,0.79453540879802,1.05148613545966
1,0.99,0.319981417071907,0.399083384543278,0.528403764277169
2,0,9.88206565339145,12.2821451962102,16.4174207065816
2,0.01,9.85030942741168,12.2335393570663,16.3382197975154
2,0.02,9.8089747579005,12.183487631945,16.2573336374645
2,0.03,9.77470160580472,12.1319891551369,16.1747623669792
2,0.04,9.73913892933458,12.0882689978842,16.0905060514157
2,0.05,9.7022851230236,12.0338035668704,16.0152615173566
2,0.06,9.65608902012909,11.9778878885224,15.9275477007895
2,0.07,9.6167089197877,11.9205208965628,15.84867338509
2,0.08,9.57603323825273,11.8706451377883,15.7574991071462
2,0.09,9.5261989376577,11.8102991270158,15.6542901857812
2,0.1,9.48298943769451,11.748497755546,15.5700894498318
2,0.11,9.43847960111434,11.685239783002,15.4738533498004
2,0.12,9.38499943931495,11.6205239285972,15.3860096221344
2,0.13,9.3379476648416,11.5543488724902,15.2962978928735
2,0.14,9.28959052539488,11.4867132570837,15.2047157698921
2,0.15,9.23992610150825,11.4176156882713,15.1112608169013
2,0.16,9.18154821367966,11.3554017195955,15.0159305549002
2,0.17,9.12199549088434,11.283298318786,14.9187224635689
2,0.18,9.06853148285303,11.2097280143436,14.8196339826078
2,0.19,9.00655689929639,11.142805067815,14.718662513024
2,0.2,8.95053072752007,11.0662170250307,14.6064466835084
2,0.21,8.88613035320357,10.9881568507406,14.501794401976
2,0.22,8.82055170537979,10.9086229296874,14.3952517522005
2,0.23,8.76070564316477,10.8276136184104,14.2777416093631
2,0.24,8.69953672402622,10.7451272461216,14.1764843408213
2,0.25,8.63704280462862,10.6687967417026,14.0642539943595
2,0.26,8.57322172390076,10.5832684628992,13.94133455974
2,0.27,8.50144369361985,10.4962574094492,13.8253951423683
2,0.28,8.43503405203661,10.4077618109074,13.707549049087
2,0.29,8.36081167658773,10.3250834536259,13.5962884114801
2,0.3,8.2918067453825,10.2335284797783,13.4745214058994
2,0.31,8.22146467415542,10.1404829720242,13.3591379626804
2,0.32,8.14352812824839,10.0459450717102,13.2334355875965
2,0.33,8.07057990112715,9.9499128993835,13.1058103902538
2,0.34,7.99018624717733,9.85926103660614,12.9762593166452
2,0.35,7.91462480484496,9.76014699623462,12.852677789356
2,0.36,7.83771585132731,9.6595323939041,12.7191631597562
2,0.37,7.75358705062561,9.56402990738919,12.5837127382691
2,0.38,7.67405356302897,9.4603190563653,12.4463233819756
2,0.39,7.59316607194239,9.36153930253528,12.306991926981
2,0.4,7.50528869962637,9.2547220859847,12.1730972386328
2,0.41,7.42176511675008,9.14639330251089,12.0297663634449
2,0.42,7.33140835826895,9.03655091411338,11.8844831692546
2,0.43,7.24524119034584,8.92519286716683,11.7443099942315
2,0.44,7.15239942907055,8.81830054239968,11.5950049085967
2,0.45,7.06358108833711,8.70381195880259,11.4437371223728
2,0.46,6.97339353453316,8.58780094572716,11.2905033428145
2,0.47,6.87677141616158,8.4759704460419,11.1419343055153
2,0.48,6.78392064631132,8.35681363069621,10.984648627947
2,0.49,6.68479859952967,8.2416449160233,10.8253863796099
2,0.5,6.58446714694886,8.1193316406383,10.6641442045695
2,0.51,6.48764889420815,7.99548421901866,10.500918731884
2,0.52,6.3848090150516,7.87010047797065,10.341786734771
2,0.53,6.28530839519376,7.74831179655975,10.1804405576799
2,0.54,6.1799540189726,7.61975108343942,10.016874880084
2,0.55,6.07776304532162,7.4896469500633,9.8453395344996
2,0.56,5.96988802459251,7.35799717845096,9.67180204544021
2,0.57,5.86499864334924,7.2247995399076,9.50177340241136
2,0.58,5.75871331973971,7.09469313965803,9.32410517763836
2,0.59,5.64700085155384,6.95829268713519,9.14970716691421
2,0.6,5.53800443755539,6.82033711379272,8.97305955506493
2,0.61,5.42375520287714,6.6851645109986,8.7891056699766
2,0.62,5.31203949407691,6.54398997352853,8.60805972386349
2,0.63,5.19524710764954,6.40539052613097,8.41993359904112
2,0.64,5.08080384424755,6.26098582562541,8.2297750570915
2,0.65,4.96146185992242,6.11501356937727,8.04215549549935
